Iterations,NP,NC,IPP,BB,Erlang Energy Consumption(J),Scala Energy Consumption(J),Erlang Total Time(s),Scala Total Time(s)
10,50,50,1000,60,30.05614866985715,49.861320986399996,1.1337300000000001,1.2613199999999998
10,100,100,1000,120,65.3259694980558,53.32465864126152,2.3597699999999997,1.4542799999999998
10,500,500,1000,600,381.2217461326892,193.78122187399606,13.019400000000001,5.622540000000001
10,1000,1000,1000,1200,781.1062610803564,327.2327269929545,26.758940000000003,9.321909999999999
10,5000,5000,1000,6000,4719.834087437924,2446.120643872295,154.98641999999998,79.70666
10,10000,10000,1000,12000,9614.211827540936,6860.38040657066,308.43519,224.10169
10,50000,50000,1000,60000,52138.270051553605,21223.550179290145,1838.36808,695.84122
10,100000,100000,1000,120000,97788.62861253714,76316.87910434135,3895.46663,2493.37331
10,500000,500000,1000,600000,515150.44156334107,203512.83923499135,21435.62287,6792.937980000001
10,1000000,1000000,1000,1200000,1053338.207738261,582241.0034890615,45402.70422,19752.064079999996
