Number of Messages,Iterations,Erlang Energy Consumption(J),Scala Energy Consumption(J),Erlang Total Time(s),Scala Total Time(s)
100000,10,8.255321718872725,58.92758810738709,0.63234,1.71297
500000,10,38.87747152904999,170.84727454485395,3.64782,4.93438
1000000,10,90.82571189623528,475.28652067062603,7.288219999999999,13.74318
5000000,10,448.2674056833778,2011.0329936492308,36.26608,65.34289
10000000,10,878.3193678047056,4140.59918602353,72.53029000000001,136.6744
50000000,10,5056.854388368443,25074.235592950485,365.69100999999995,819.00881
100000000,10,9550.158910143815,48022.01628461921,731.6645500000001,1557.62234
500000000,10,52332.826284323324,142601.72207452692,3759.97582,4580.321150000001
1000000000,10,100250.44576571645,279586.63232348795,7966.943949999999,9180.73555
1500000000,10,148511.2739705062,748447.6939971407,10967.0426,23810.87591
2000000000,10,193353.68983049822,1032725.592336122,14642.56836,32952.81501
